"","Segment 1","Segment 2","Segment 3","Segment 4"
"QualMiles",0.983632232880346,1.36319750354946,1.16690210050493,0.600984109997259
"BonusMiles",0.129987579651112,3.97117978350766,1.67036434671494,0.730549715276049
"BonusTrans",0.511098506787048,1.9516133835989,1.51928980207328,1.21073716785551
"FlightMiles",0.732985602010416,2.0552273572655,1.45237641792903,0.539695221692366
"FlightTrans",0.757660456939026,1.966382558518,1.37247621943399,0.618228604007923
"DaysSinceEnroll",0.908305661130524,1.20657174107702,1.08845985190507,1.02907736677973
